LaTeXFormula, PlainFormula, Gly, m
$$2\hbar^2/(G.m_e.m_p.m_n)$$, 2*hbar**2/(G_s*m_e*m_p*m_n), 13.80047597102314e+9, 1.3056258355517771e+26
$$((a/\sqrt(137)(4\pi.F)^2)ƛ_e^4l_{ph}^3(ƛ_{CMB}/l_P)^8)^{1/7}$$, ((a/(np.sqrt(137)*(4*np.pi*F)**2))*(lambdabare**4)*(l_ph**3)*(lambdabar_cmb/l_P)**8)**(1/7), 13.806994095759556e+9, 1.3062424977649562e+26
$$4P^3l_{Wi}ƛ_e/R_N$$, (4*P**3*l_wi*lambdabare)/R_N, 13.816414305528234e+9, 1.3071337184211224e+26 
$$((11/4)^{3/610}.R1^2)/R_N$$, ((1/np.log(2))**2.5)*R1**2)/R_N, 13.811958871705365e+9, 1.3067104241961147e+26
$$R_{a}=ƛ_e.(2.\pi^2.a^3)^5$$, ((constants.pi**2*(2*(1/constants.fine_structure)**3))**5)*(constants.hbar/(constants.m_e*constants.c)), 13.80417811516134e+9, 1.3059760854303987e+26
$$ƛ_FP^2e/8$$, lambdabar_F*P**2*e/8, 13.814149979454358e+9, 1.3069194966342527e+26
$$ƛ_FP^3/p^7$$, lambdabar_F*P**3/p**7, 13.803117607419157e+9, 1.30587575365127e+26
$$R_{Rydberg}=\frac{(ƛ_{Ryd}.n^4)^2}{ƛ_p}$$, ((lambdabarRyd*n**4)**2)/lambdabar_p, 13.810372445537942e+9, 1.3065621143319103e+26
$$R_{ƛ_w}=ƛ_w.(\frac{2^{70}.\gamma.n^3}{\Gamma^4})^2$$, (((2**70*np.euler_gamma*n**3)/Gamma**4)**2)*ƛ_w, 13.811976947856119e+9, 1.3067139119716592e+26
$$R_{kotov-fermi}=\frac{2.(c.t_k)^2/ƛ_e}{F^2}$$, 2*(c*t_k)**2/lambdabare/F**2, 13.811976769267615e+9, 1.3067138950758822e+26
$$R_{a}=ƛ_e.(2.\pi^2.a^3)^5$$, R_a=((constants.pi**2*(2*(1/constants.fine_structure)**3))**5)*(constants.hbar/(constants.m_e*constants.c)), 13.80417811516134e+9, 1.3059760854303987e+26
$$R_{ƛ_w}=ƛ_e/F^2.(\frac{2^{70}.\gamma.n^3}{\Gamma^4})^2$$, (((2**70*np.euler_gamma*n**3)/Gamma**4)**2)*(lambdabare/F**2), 13.811976947966931e+9, 1.306713911982143e+26
$$ƛ_e g(6) and g(6)=𝑒𝑥𝑝(2^{6+1/2/6})$$, lambdabare*(np.𝑒𝑥𝑝(2**(5+1/2/5)), 13.8e+9, 1.3e+26
$$R_N a^a /\Pi_{happy}$$, R_N*a**a/OP, 13.8e+9, 1.3e+26
$$ƛ_e\pi^{155/2}$$, lambdabare*np.pi**(155/2), 13.8e+9, 1.3e+26

$$(e^{e^{e}})^{\sqrt a}).(a-136))^{1/2}ƛ_e$$, ((e**e**e)**(np.sqrt(a))*(a-136))**(1/2)*lambdabare, 13.813717718551707e+9, 1.3068786015953146e+26
$$ƛ_e(a^a)^{5/38}$$, lambdabare*(a**a)**(5/38), 13.8e+9, 1.306e+26 
$$R1(8/\sqrt(3a))^{1/7}$$, R1*(8/np.sqrt(3a))**(1/7), 13.8e+9, 1.306e+26 
$$ƛ_e.exp((e^{4e-1/a}-ln2(P^4/a^3 ))/2)^{1/2}$$, np.exp(np.sqrt((e**(4*e-1/a)-np.log(P**4/a**3)**2)/2))*lambdabare, 13.811692724518824e+9,  	1.306718550184196e+26 	
$$ƛ_Fe(Pe^e)^2/\sqrt(pn)$$, lambdabar_F*e*(P*e**e)**2/np.sqrt(p*n), 13.812613107197082e+9, 1.306774097292284e+26
$$(ƛ_e^2/l_P)(j/16)^16( e^e )^2.d_e\sqrt(2)$$, (lambdabare**2/l_P)(j/16)**16( e**e )**2*d_e*np.sqrt(2), 13.812025973801315e+9, 1.3067153891523966e+26
$$3^{1/137}R_{GC}^{2/3}r_e^{1/3} /l_K$$, 3**(1/137)*R_GC**(2/3)*(lambdabare/a)**(4/3)/l_K/(constants.light_year*10**9), 13.812451316259656e+9, 1.306758790687765e+26 
$$((a/\sqrt(137)(4\pi F)^2)ƛ_e^4 l_{ph}^3(\lambda_{CMB}/l_P)^8 )^(1/7)$$, ((a/(np.sqrt(137)*(4*np.pi*F)**2))*(lambdabare**4)*(l_ph**3)*(lambdabar_cmb/l_P)**8)**(1/7), 13.806994095759556e+9, 1.3067153891523966e+26
